symbol,tf,signal,sl,tp,trades,wins,losses,open,winrate,netR,expectancyR
ETHUSDT,4h,div_bear,1,2,4,2,2,0,0.5000,1.40,0.3500
ETHUSDT,4h,div_bull,1,2,2,0,2,0,0.0000,-2.30,-1.1500
ETHUSDT,4h,rsi_buy,1,2,9,2,7,0,0.2222,-4.35,-0.4833
ETHUSDT,4h,rsi_sell,1,3,9,2,7,0,0.2222,-2.35,-0.2611
ETHUSDT,4h,div_bear,1,3,4,2,2,0,0.5000,3.40,0.8500
ETHUSDT,4h,div_bull,1,3,2,0,2,0,0.0000,-2.30,-1.1500
ETHUSDT,4h,rsi_buy,1,3,9,1,8,0,0.1111,-6.35,-0.7056
ETHUSDT,4h,rsi_sell,2,2,9,4,5,0,0.4444,-1.68,-0.1861
ETHUSDT,4h,div_bear,2,2,4,4,0,0,1.0000,3.70,0.9250
ETHUSDT,4h,div_bull,2,2,2,1,1,0,0.5000,-0.15,-0.0750
ETHUSDT,4h,rsi_buy,2,2,9,4,5,0,0.4444,-1.67,-0.1861
ETHUSDT,4h,rsi_sell,2,4,9,4,5,0,0.4444,2.33,0.2583
ETHUSDT,4h,div_bear,2,4,4,2,2,0,0.5000,1.70,0.4250
ETHUSDT,4h,div_bull,2,4,2,0,2,0,0.0000,-2.15,-1.0750
ETHUSDT,4h,rsi_buy,2,4,9,2,7,0,0.2222,-3.67,-0.4083
ETHUSDT,4h,rsi_sell,2,6,9,2,7,0,0.2222,-1.68,-0.1861
ETHUSDT,4h,div_bear,2,6,4,2,2,0,0.5000,3.70,0.9250
ETHUSDT,4h,div_bull,2,6,2,0,2,0,0.0000,-2.15,-1.0750
ETHUSDT,4h,rsi_buy,2,6,9,1,8,0,0.1111,-5.68,-0.6306
ETHUSDT,4h,rsi_sell,3,3,9,4,5,0,0.4444,-1.45,-0.1611
ETHUSDT,4h,div_bear,3,3,4,4,0,0,1.0000,3.80,0.9500
ETHUSDT,4h,div_bull,3,3,2,0,2,0,0.0000,-2.10,-1.0500
ETHUSDT,4h,rsi_buy,3,3,9,3,6,0,0.3333,-3.45,-0.3833
ETHUSDT,4h,rsi_sell,3,6,9,2,6,1,0.2500,-2.40,-0.3000
ETHUSDT,4h,div_bear,3,6,4,2,2,0,0.5000,1.80,0.4500
ETHUSDT,4h,div_bull,3,6,2,0,2,0,0.0000,-2.10,-1.0500
ETHUSDT,4h,rsi_buy,3,6,9,1,8,0,0.1111,-6.45,-0.7167
ETHUSDT,4h,rsi_sell,3,9,9,0,6,3,0.0000,-6.30,-1.0500
ETHUSDT,4h,div_bear,3,9,4,1,2,1,0.3333,0.85,0.2833
ETHUSDT,4h,div_bull,3,9,2,0,2,0,0.0000,-2.10,-1.0500
ETHUSDT,4h,rsi_buy,3,9,9,1,8,0,0.1111,-5.45,-0.6056
ETHUSDT,1d,div_bull,1,1,5,1,4,0,0.2000,-3.75,-0.7500
ETHUSDT,1d,rsi_sell,1,1,8,0,8,0,0.0000,-9.20,-1.1500
ETHUSDT,1d,div_bear,1,1,3,1,2,0,0.3333,-1.45,-0.4833
ETHUSDT,1d,rsi_buy,1,1,7,1,6,0,0.1429,-6.05,-0.8643
ETHUSDT,1d,div_bull,1,2,5,1,4,0,0.2000,-2.75,-0.5500
ETHUSDT,1d,rsi_sell,1,2,8,0,8,0,0.0000,-9.20,-1.1500
ETHUSDT,1d,div_bear,1,2,3,1,2,0,0.3333,-0.45,-0.1500
ETHUSDT,1d,rsi_buy,1,2,7,1,6,0,0.1429,-5.05,-0.7214
ETHUSDT,1d,div_bull,1,3,5,0,5,0,0.0000,-5.75,-1.1500
ETHUSDT,1d,rsi_sell,1,3,8,0,8,0,0.0000,-9.20,-1.1500
ETHUSDT,1d,div_bear,1,3,3,0,3,0,0.0000,-3.45,-1.1500
ETHUSDT,1d,rsi_buy,1,3,7,1,6,0,0.1429,-4.05,-0.5786
ETHUSDT,1d,div_bull,2,2,5,2,3,0,0.4000,-1.37,-0.2750
ETHUSDT,1d,rsi_sell,2,2,8,1,7,0,0.1250,-6.60,-0.8250
ETHUSDT,1d,div_bear,2,2,3,2,1,0,0.6667,0.78,0.2583
ETHUSDT,1d,rsi_buy,2,2,7,1,6,0,0.1429,-5.53,-0.7893
ETHUSDT,1d,div_bull,2,4,5,1,4,0,0.2000,-2.38,-0.4750
ETHUSDT,1d,rsi_sell,2,4,8,0,8,0,0.0000,-8.60,-1.0750
ETHUSDT,1d,div_bear,2,4,3,1,2,0,0.3333,-0.22,-0.0750
ETHUSDT,1d,rsi_buy,2,4,7,1,6,0,0.1429,-4.53,-0.6464
ETHUSDT,1d,div_bull,2,6,5,0,5,0,0.0000,-5.38,-1.0750
ETHUSDT,1d,rsi_sell,2,6,8,0,8,0,0.0000,-8.60,-1.0750
ETHUSDT,1d,div_bear,2,6,3,1,2,0,0.3333,0.77,0.2583
ETHUSDT,1d,rsi_buy,2,6,7,1,6,0,0.1429,-3.53,-0.5036
ETHUSDT,1d,div_bull,3,3,5,1,4,0,0.2000,-3.25,-0.6500
ETHUSDT,1d,rsi_sell,3,3,8,1,7,0,0.1250,-6.40,-0.8000
ETHUSDT,1d,div_bear,3,3,3,1,2,0,0.3333,-1.15,-0.3833
ETHUSDT,1d,rsi_buy,3,3,7,3,4,0,0.4286,-1.35,-0.1929
ETHUSDT,1d,div_bull,3,6,5,1,4,0,0.2000,-2.25,-0.4500
ETHUSDT,1d,rsi_sell,3,6,8,1,7,0,0.1250,-5.40,-0.6750
ETHUSDT,1d,div_bear,3,6,3,1,2,0,0.3333,-0.15,-0.0500
ETHUSDT,1d,rsi_buy,3,6,7,2,5,0,0.2857,-1.35,-0.1929
ETHUSDT,1d,div_bull,3,9,5,1,4,0,0.2000,-1.25,-0.2500
ETHUSDT,1d,rsi_sell,3,9,8,1,7,0,0.1250,-4.40,-0.5500
ETHUSDT,1d,div_bear,3,9,3,1,2,0,0.3333,0.85,0.2833
ETHUSDT,1d,rsi_buy,3,9,7,2,5,0,0.2857,0.65,0.0929
SOLUSDT,1h,rsi_sell,1,1,11,1,10,0,0.0909,-10.65,-0.9682
SOLUSDT,1h,div_bear,1,1,6,4,2,0,0.6667,1.10,0.1833
SOLUSDT,1h,div_bull,1,1,6,5,1,0,0.8333,3.10,0.5167
SOLUSDT,1h,rsi_buy,1,1,6,3,3,0,0.5000,-0.90,-0.1500
SOLUSDT,1h,rsi_sell,1,2,11,0,11,0,0.0000,-12.65,-1.1500
SOLUSDT,1h,div_bear,1,2,6,2,4,0,0.3333,-0.90,-0.1500
SOLUSDT,1h,div_bull,1,2,6,2,4,0,0.3333,-0.90,-0.1500
SOLUSDT,1h,rsi_buy,1,2,6,2,3,1,0.4000,0.25,0.0500
SOLUSDT,1h,rsi_sell,1,3,11,0,11,0,0.0000,-12.65,-1.1500
SOLUSDT,1h,div_bear,1,3,6,2,4,0,0.3333,1.10,0.1833
SOLUSDT,1h,div_bull,1,3,6,1,5,0,0.1667,-2.90,-0.4833
SOLUSDT,1h,rsi_buy,1,3,6,2,3,1,0.4000,2.25,0.4500
SOLUSDT,1h,rsi_sell,2,2,11,5,6,0,0.4545,-1.82,-0.1659
SOLUSDT,1h,div_bear,2,2,6,3,2,1,0.6000,0.63,0.1250
SOLUSDT,1h,div_bull,2,2,6,3,3,0,0.5000,-0.45,-0.0750
SOLUSDT,1h,rsi_buy,2,2,6,3,2,1,0.6000,0.63,0.1250
SOLUSDT,1h,rsi_sell,2,4,11,3,6,2,0.3333,-0.67,-0.0750
SOLUSDT,1h,div_bear,2,4,6,1,3,2,0.2500,-1.30,-0.3250
SOLUSDT,1h,div_bull,2,4,6,2,4,0,0.3333,-0.45,-0.0750
SOLUSDT,1h,rsi_buy,2,4,6,2,3,1,0.4000,0.63,0.1250
SOLUSDT,1h,rsi_sell,2,6,11,3,6,2,0.3333,2.32,0.2583
SOLUSDT,1h,div_bear,2,6,6,1,3,2,0.2500,-0.30,-0.0750
SOLUSDT,1h,div_bull,2,6,6,1,5,0,0.1667,-2.45,-0.4083
SOLUSDT,1h,rsi_buy,2,6,6,1,4,1,0.2000,-1.38,-0.2750
SOLUSDT,1h,rsi_sell,3,3,11,4,4,3,0.5000,-0.40,-0.0500
SOLUSDT,1h,div_bear,3,3,6,2,3,1,0.4000,-1.25,-0.2500
SOLUSDT,1h,div_bull,3,3,6,3,2,1,0.6000,0.75,0.1500
SOLUSDT,1h,rsi_buy,3,3,6,2,3,1,0.4000,-1.25,-0.2500
